title,content,datetime,url
Honda CRF250RALLY di Indonesia Aman dari Recall,"- Seperti diberitakan detikOto sebelumnya, Honda   di pasar Amerika Serikat ditarik (recall) karena mengalami pada wiring harness. Masalah ini bisa menyebabkan fungsi lampu dan panel instrumen terganggu. Lantas apakah trail 250cc Honda yang dijual di Indonesia, juga akan mengalami recall serupa?   ""Di Amerika kan CRF250L, sementara yang kita pasarin CRF250RALLY. Jadi tidak termasuk yang di-recall ya,"" ucap General Manager Corporate Communication Ahmad Muhibbudin, kepada detikOto, di Cikarang, Bekasi, Jawa Barat (16/10/2018). Dijelaskan pria yang akrab disapa Muhib, secara varian, antara CRF250L dan   memang beda. "" CRF250L yang dijual di Amerika buatan Jepang. Sementara produk kami (CRF250RALLY) dari Thailand. Jadi dipastikan aman dari recall,"" pungkas Muhib. Sebagai informasi, tidak kurang 500 unit Honda CRF250L yang terjual di Amerika Serikat mengalami penarikan oleh pihak APM. Selain CRF250L, Honda juga bakal menarik CRF250R yang diproduksi mulai 6 Oktober- 4 April 2018. Penarikan ini akan berlaku untuk semua model Honda CRF250R. Berbeda dengan permasalahan CRF250L, Honda CRF250R disinyalir memiliki permasalahan pada kopling. Kopling Honda CRF250R disebut tidak bekerja dengan sempurna, sehingga bisa menyebabkan mesin overheat dan bisa membuat cover mesin pecah, serta bisa membuat mesin mengunci atau tidak berfungsi dengan baik. Tercatat ada 505 unit Honda CRF250R yang akan ditarik di Amerika Serikat. Prosesnya penarikan untuk perbaikan ini gratis.","Selasa, 16 Okt 2018 19:21 WIB Selasa, 16 Okt 2018 18:59 WIB Selasa, 16 Okt 2018 18:30 WIB Selasa, 16 Okt 2018 17:53 WIB Selasa, 16 Okt 2018 17:19 WIB Selasa, 16 Okt 2018 16:56 WIB Selasa, 16 Okt 2018 16:28 WIB Selasa, 16 Okt 2018 16:09 WIB Selasa, 16 Okt 2018 15:47 WIB Selasa, 16 Okt 2018 15:36 WIB Selasa, 16 Okt 2018 15:15 WIB Selasa, 16 Okt 2018 14:30 WIB Selasa, 16 Okt 2018 14:08 WIB",https://oto.detik.com/motor/d-4259578/honda-crf250rally-di-indonesia-aman-dari-recall?tag_from=wp_cb_lifestyle_list
"Bakal Diluncurkan, Esemka Belum Punya Bengkel Servis","- Sebelum memproduksi mobil tentu banyak hal yang harus disiapkan. Selain pabrik layanan purna jual seperti bengkel pun harus tersedia agar konsumen tak terlantar. Hal itu pun sedang disiapkan oleh salah satu mobil yang bakal meluncur di Indonesia,  .  Dikabarkan bakal meluncur paling lambat 2019,   saat ini masih belum memiliki bengkel servis bagi para konsumennya.  ""Belum (ketersediaan bengkel), nanti kita pastikan lagi ada,"" ujar Staf Khusus Presiden Joko Widodo Diaz Hendropriyono dalam sebuah kesempatan.    Menurut Diaz pabrik   telah siap untuk memproduksi delapan unit mobil merek itu. Seperti diketahui, Esemka telah dinyatakan lulus Uji Tipe. Dengan begitu   diperbolehkan untuk melanjutkan ke proses produksi.  ""Saya memang tidak langsung menangani tapi yang saya dengar pabriknya sudah disiapkan, assembling line sudah disiapkan, malahan kalau nggak salah mau ada launching   dalam waktu dekat,"" sambung Diaz.  Pabrik  sempat mendapat komentar bernada miring dari Wakil Ketua DPR RI Fahri Hamzah. Fahri meragukan   telah memiliki pabrik yang mumpuni untuk memproduksi mobil. detikOto sendiri pernah dua kali mengunjungi pabrik Esemka yang berlokasi di Cileungsi dan Boyolali.  Namun belum tampak aktivitas mobil-mobil diproduksi di sana. ""Kita udah punya belum assembling? Jangan-jangan ini ada mobil diimpor dari negara lain kemudian di luar ditaruh stempel gitu,"" sebut Fahri.","Selasa, 16 Okt 2018 18:59 WIB Selasa, 16 Okt 2018 18:59 WIB Selasa, 16 Okt 2018 18:30 WIB Selasa, 16 Okt 2018 17:53 WIB Selasa, 16 Okt 2018 17:19 WIB Selasa, 16 Okt 2018 16:56 WIB Selasa, 16 Okt 2018 16:28 WIB Selasa, 16 Okt 2018 16:09 WIB Selasa, 16 Okt 2018 15:47 WIB Selasa, 16 Okt 2018 15:36 WIB Selasa, 16 Okt 2018 15:15 WIB Selasa, 16 Okt 2018 14:30 WIB Selasa, 16 Okt 2018 14:08 WIB",https://oto.detik.com/mobil/d-4259557/bakal-diluncurkan-esemka-belum-punya-bengkel-servis?tag_from=wp_cb_lifestyle_list
Air Sumur Warga yang Tercemar BBM Terbakar Jika Disulut Api,"- Air sumur warga Dusun Panjer, Desa Tunggalpager, Pungging, Mojokerto tercemar bahan bakar minyak (BBM). Air tanah itu bisa terbakar jika disulut dengan api. Seperti yang terjadi di sumur milik Khoirudin (35). Permukaan air sumur dengan diameter 1 meter dan kedalaman sekitar 17 meter itu tertutup dengan minyak. Minyak yang belum diketahui jenisnya tesebut dikatakan Khoirudin mirip dengan BBM jenis Pertalite. Baik dari segi warnanya yang cenderung hijau, maupun dari aromanya. Bahkan air sumur milik Khoirudin mudah terbakar jika disulut dengan api. Bapak dua anak ini mencobanya dengan minyak yang bercampur air ke gelas plastik. Saat disulut dengan korek api, seketika air di dalam gelas itu terbakar. ""Makanya saya tak berani menyalakan api di dekat sumur,"" kata Khoirudin kepada detikcom di rumahnya, Selasa (16/10/2018). Saat ini sumur milik Khoirudin ditutup menggunakan garis polisi. Kendati begitu, warga sekitar yang penasaran berbondong-bondong untuk melihat langsung fenomena aneh tersebut. Warga mengambil air sumur menggunakan timba. Dengan cara itu mereka bisa mengambil permukaan air sumur yang dipenuhi BBM. Selain melihat warnanya, warga juga mengendus air yang berbau mirip Pertalite tersebut. ""Kalau warna dan baunya, mirip Pertalite,"" ungkap Khoirudin. Kondisi serupa juga terjadi di sumur warga lainnya di Dusun Panjer. Hanya saja air sumur warga lainnya tak sampai terbakar jika disulut api. Sampai saat ini belum terungkap penyebab tercemarnya air sumur warga.","Selasa 16 Oktober 2018, 18:39 WIB",https://news.detik.com/berita-jawa-timur/d-4259498/air-sumur-warga-yang-tercemar-bbm-terbakar-jika-disulut-api
Bupati Bantul Harap Polisi Usut Tuntas Pembubaran Sedekah Laut,"- Bupati Bantul, Suharsono mengharapkan polisi mengusut tuntas persiapan tradisi Sedekah laut di Pantai Baru. Berikut ini pernyataan Suharsono kepada wartawan.  ""Itu urusan sana (polisi), karena hukum bukan wewenang saya. Yang jelas sudah jadi tugas polisi untuk mengungkap kasus tersebut,"" katanya kepada wartawan di rumah dinasnya di Desa Trirenggo, Kecamatan Bantul, Selasa (16/10/2018). Suharso juga meminta polisi bertindak tegas pada pelakunya.    ""Harapannya Polisi bertindak sesuai dengan aturan, kalau melanggar hukum ya silakan (ditindak),"" ujarnya. Diberitakan sebelumnya, pengrusakan properti persiapan sedekah laut yang dilakukan sekelompok orang di Pantai Baru, Jumat (12/10) malam tidak membuat acara serupa dihentikan tahun depan. Bahkan Bupati Bantul menjamin acara sedekah laut tetap digelar tahun depan. ""Tahun depan tetap dilaksanakan (Sedekah laut) karena nguri-nguri budaya Jawa yang perlu kita lestarikan. Bukan berarti nyembah (Yang lain) lho,"" kata Suharsono.  Menurutnya, hal itu sesuai dengan perintah Raja Ngayogyakarta Hadiningrat, Sri Sultan Hamengku Buwono (HB) X untuk melestarikan budaya Jawa di tengah-tengah masyarakat. Selain itu, Suharsono menegaskan akan melawan hal yang membenturkan budaya dengan agama di Kabupaten Bantul. ""Prinsipnya (Tetap) lawan, saya sudah berkali-kali bilang jangan menghubungkan antara budaya dengan agama. Budaya harus dilestarikan sesuai perintah Sultan,"" ujarnya.","Selasa 16 Oktober 2018, 18:44 WIB",https://news.detik.com/berita-jawa-tengah/d-4259529/bupati-bantul-harap-polisi-usut-tuntas-pembubaran-sedekah-laut
"Novel Bamukmin: Mau Masuk Surga? Pinta ke Allah, Rasul, Prabowo-Sandi","-Juru bicara   Novel Bamukmin mendapat kesempatan menyampaikan doa dalam acara deklarasi 'Perempuan Prabowo' mendukung Prabowo Subianto-Sandiaga Uno. Sebelum berdoa, Novel berbicara soal 'kunci' masuk surga.  Acara deklarasi itu digelar di Sekretariat Nasional Prabowo-Sandi, Jl HOS Cokroaminoto 93, Jakarta Pusat, Jumat (12/10/2018). Novel awalnya menyapa perempuan yang hadir dalam deklarasi.  ""Bu, mau masuk surga? Pinta sama Allah, pinta sama Rasulullah, pinta sama Prabowo, pinta sama Sandiaga Uno. Betul? Takbir. Insyaallah masuk surga,"" kata Novel.    Novel berbicara lebih jauh soal kunci masuk surga. Dia menyebut nama Farhat Abbas, yang juga sempat berbicara tentang 'surga dan neraka'.  ""Yang di , yang   bukan sama Farhat, bukan, di sini. Masa masuk surga sama pendukung penista agama. Betul nggak?"" katanya.  ""Kira-kira kalau ada orang penista agama masuk surga nggak? Ya nggak. Masa masuk surga pendukung penista agama.   malah dikriminalisasi,"" imbuh Novel. Novel mengajak seluruh perempuan yang hadir dalam acara ini berkomitmen mendukung Prabowo-Sandi. Menurutnya, ini jihad dalam jalur konstitusi.  ""Ini perjuangan suci, Ibu, perjuangan jihad konstitusional. Betul?"" sebut Novel disambut jawaban 'betul'.","Jumat 12 Oktober 2018, 17:48 WIB",https://news.detik.com/berita/4254043/novel-bamukmin-mau-masuk-surga-pinta-ke-allah-rasul-prabowo-sandi
Jokowi Kontak PM Morrison soal Australia Pindah Kedubes ke Yerusalem,"- Presiden Joko Widodo ( ) sudah berkomunikasi dengan PM Australia Scott Morrison soal usulan memindahkan Kedubes Israel dari Tel Aviv ke Yerusalem. Jokowi menghubungi Scott tadi pagi. ""Beliau berkomunikasi. Tadi pagi,"" ujar Menlu Retno LP Marsudi di Istana Kepresidenan, Jl Medan Merdeka Utara, Jakarta Pusat, Selasa (16/10/2018). Saat menghubungi Scott, Jokowi menanyakan rencana tersebut.   ""Kita menyampaikan concern (perhatian), intinya menyampaikan concern mengenai announcement (pengumuman) itu,"" jelas Retno. Sebelumnya, Menteri Luar Negeri Palestina Riyad al Maliki menyebut langkah Australia yang akan memindahkan Kedutaan Besar ke Yerusalem adalah tindakan yang tidak menghargai resolusi Dewan Keamanan. Ia juga menyebut tindakan Australia tersebut tidak menghargai hukum internasional. ""Kami berharap Australia dapat mempertimbangkan kembali posisi mereka,"" ujar Maliki. Maliki juga menyampaikan terima kasih atas respons cepat Pemerintah Indonesia dalam menanggapi hal ini. Indonesia, disebut Maliki, adalah negara pertama yang dengan segara mengambil langkah untuk berkomunikasi dengan Australia guna membujuk untuk tidak mengambil langkah yang kontradiktif.","Selasa 16 Oktober 2018, 17:24 WIB",https://news.detik.com/berita/d-4259378/jokowi-kontak-pm-morrison-soal-australia-pindah-kedubes-ke-yerusalem
Bupati Bantul Harap Polisi Usut Tuntas Pembubaran Sedekah Laut,"- Bupati Bantul, Suharsono mengharapkan polisi mengusut tuntas persiapan tradisi Sedekah laut di Pantai Baru. Berikut ini pernyataan Suharsono kepada wartawan.  ""Itu urusan sana (polisi), karena hukum bukan wewenang saya. Yang jelas sudah jadi tugas polisi untuk mengungkap kasus tersebut,"" katanya kepada wartawan di rumah dinasnya di Desa Trirenggo, Kecamatan Bantul, Selasa (16/10/2018). Suharso juga meminta polisi bertindak tegas pada pelakunya.    ""Harapannya Polisi bertindak sesuai dengan aturan, kalau melanggar hukum ya silakan (ditindak),"" ujarnya. Diberitakan sebelumnya, pengrusakan properti persiapan sedekah laut yang dilakukan sekelompok orang di Pantai Baru, Jumat (12/10) malam tidak membuat acara serupa dihentikan tahun depan. Bahkan Bupati Bantul menjamin acara sedekah laut tetap digelar tahun depan. ""Tahun depan tetap dilaksanakan (Sedekah laut) karena nguri-nguri budaya Jawa yang perlu kita lestarikan. Bukan berarti nyembah (Yang lain) lho,"" kata Suharsono.  Menurutnya, hal itu sesuai dengan perintah Raja Ngayogyakarta Hadiningrat, Sri Sultan Hamengku Buwono (HB) X untuk melestarikan budaya Jawa di tengah-tengah masyarakat. Selain itu, Suharsono menegaskan akan melawan hal yang membenturkan budaya dengan agama di Kabupaten Bantul. ""Prinsipnya (Tetap) lawan, saya sudah berkali-kali bilang jangan menghubungkan antara budaya dengan agama. Budaya harus dilestarikan sesuai perintah Sultan,"" ujarnya.","Selasa 16 Oktober 2018, 18:44 WIB",https://news.detik.com/berita-jawa-tengah/d-4259529/bupati-bantul-harap-polisi-usut-tuntas-pembubaran-sedekah-laut
"Diperiksa 8 Jam soal Kasus Ratna, Dahnil Dicecar 43 Pertanyaan","-Koordinator juru bicara Badan Pemenangan Nasional (BPN) Prabowo Subianto-Sandiaga Uno,  , menjalani pemeriksaan sebagai saksi kasus hoax Ratna Sarumpaet selama 8 jam. Dahnil dicecar 43 pertanyaan. ""43 pertanyaan kurang lebih,"" kata pengacara Dahnil, Hendarsam, di Mapolda Metro Jaya, Jalan Jenderal Sudirman, Jakarta, Selasa (16/10/2018). Dahnil tiba di Mapolda Metro Jaya pukul 10.00 WIB. Dia keluar dari ruang pemeriksaan pukul 18.43 WIB.   Sebelum Dahnil, polisi juga telah memanggil Wakil Ketua BPN Prabowo-Sandiaga, Nanik S Deyang. Nanik juga diperiksa sebagai saksi kasus hoax Ratna Sarumpaet. Polisi sebelumnya sudah memeriksa Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal, Amien Rais, Plt Kadisparbud DKI Asiantoro. Ikut juga diperiksa driver dan staf Ratna Sarumpaet. Penyidik Polda Metro Jaya menetapkan Ratna Sarumpaet sebagai tersangka penyebaran berita bohong alias hoax untuk membuat keonaran. Ratna disangkakan dengan UU Peraturan Hukum Pidana dan UU ITE. Ratna menjadi tersangka setelah polisi menerima laporan soal hoax penganiayaan. Ratna memang mengakui kebohongannya setelah polisi membeberkan fakta-fakta penelusuran isu penganiayaan.","Selasa 16 Oktober 2018, 18:56 WIB",https://news.detik.com/berita/d-4259506/diperiksa-8-jam-soal-kasus-ratna-dahnil-dicecar-43-pertanyaan?tag_from=wp_nhl_img_32
"Diperiksa 8 Jam soal Kasus Ratna, Dahnil Dicecar 43 Pertanyaan","-Koordinator juru bicara Badan Pemenangan Nasional (BPN) Prabowo Subianto-Sandiaga Uno,  , menjalani pemeriksaan sebagai saksi kasus hoax Ratna Sarumpaet selama 8 jam. Dahnil dicecar 43 pertanyaan. ""43 pertanyaan kurang lebih,"" kata pengacara Dahnil, Hendarsam, di Mapolda Metro Jaya, Jalan Jenderal Sudirman, Jakarta, Selasa (16/10/2018). Dahnil tiba di Mapolda Metro Jaya pukul 10.00 WIB. Dia keluar dari ruang pemeriksaan pukul 18.43 WIB.   Sebelum Dahnil, polisi juga telah memanggil Wakil Ketua BPN Prabowo-Sandiaga, Nanik S Deyang. Nanik juga diperiksa sebagai saksi kasus hoax Ratna Sarumpaet. Polisi sebelumnya sudah memeriksa Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal, Amien Rais, Plt Kadisparbud DKI Asiantoro. Ikut juga diperiksa driver dan staf Ratna Sarumpaet. Penyidik Polda Metro Jaya menetapkan Ratna Sarumpaet sebagai tersangka penyebaran berita bohong alias hoax untuk membuat keonaran. Ratna disangkakan dengan UU Peraturan Hukum Pidana dan UU ITE. Ratna menjadi tersangka setelah polisi menerima laporan soal hoax penganiayaan. Ratna memang mengakui kebohongannya setelah polisi membeberkan fakta-fakta penelusuran isu penganiayaan.","Selasa 16 Oktober 2018, 18:56 WIB",https://news.detik.com/berita/d-4259506/diperiksa-8-jam-soal-kasus-ratna-dahnil-dicecar-43-pertanyaan?tag_from=wp_nhl_judul_32
"Jokowi dan Politik ""Game of Thrones""","-Tepuk tangan dan gelak tawa membahana di Nusa Dua Hall Convention Center, Bali kala Presiden Joko Widodo (Jokowi) menyampaikan sambutan dalam acara   pada Jumat (12/10) lalu. Presiden Jokowi mencuri perhatian dengan pidatonya yang menyampaikan bahwa kondisi ekonomi dunia (yang diakibatkan oleh perang dagang AS dan China) seperti kondisi yang terjadi dalam film  .      merupakan film serial yang menceritakan tentang sebuah benua fiktif yang disebut dengan Westeros yang di dalamnya terdapat banyak "" "" (klan) yang memiliki pengaruh siginifkan.   Arryn,   Greyjoy,   Lannister,   Stark hingga   Tagaryen adalah yang terbesar di antaranya. Dalam serial ini diceritakan bahwa antar-  sering berperang untuk merebut tahta tertinggi di Westeros yakni The Iron Thrones yang terdapat di ibu kota Westeros-King's Landing.   Jokowi menganalogikan bahwa Westeros ialah dunia.   adalah negara-negara maju yang memiliki kuasa dan pengaruh yang kuat. Serta, The Iron Thrones dianalogikan sebagai pasar global-tujuan utama. Untuk mencapai The Iron Thrones, tak jarang para   saling berkhianat dan menjatuhkan. Kemarin jadi lawan, sekarang jadi kawan. Kemarin saling puji, kini saling maki. Tiada yang abadi, begitulah politik bagi mereka. Kondisi itulah yang terjadi pada negara-negara maju saat ini. Jokowi berpendapat bahwa aliansi antarnegara-negara ekonomi maju memang tengah mengalami keretakan. Lemahnya kerja sama dan koordinasi telah menyebabkan terjadinya banyak masalah. Seperti peningkatan drastis harga minyak mentah dan juga kekacauan di pasar mata uang yang dialami negara-negara berkembang, termasuk Indonesia. Kita sama-sama tahu, kondisi rupiah makin melemah di awal pekan bulan ini. Rupiah yang sudah melemah 12,01 persen sepanjang tahun berjalan 2018 disebabkan salah satunya oleh perang dagang ini.      Apa yang terjadi pada China dan AS tampak belum surut dalam waktu dekat. Ketegangan ini terus terjadi tanpa ada itikad baik untuk meredam egoisme masing-masing negara. Kita sama-sama tahu, AS dan China terus melakukan pengetatan impor. Pengetatan impor dimulai dengan pengenaan tarif tinggi oleh AS pada produk China senilai 34 miliar dolar AS di pertengahan tahun ini. Tak mau tinggal diam, China pun membalas dengan melakukan blokade pada kapal-kapal AS yang membawa ribuan ton produk AS. Bukan hanya itu, China pun melakukan pengetatan impor pada sektor pertambangan, khususnya pada komoditi batubara. Alhasil, negara-negara berkembang penghasil batubara (seperti Indonesia) terimbas negatif dalam hal ini.  AS di bawah kepemimpinan Donald Trump tampak semakin garang pada China. Belum lama ini, AS mengancam pemerintahan China dengan berencana menaikkan tarif tinggi pada produk impor China jika tidak mencabut pengetatan impor pada produk AS. Tidak tanggung-tanggung, AS berencana menaikkan tarif semua barang impor dari China senilai 500 miliar dolar AS. Dengan nada sombong, Trump siap meningkatkan intensitas perang dagang melawan China yang diklaim telah menggerogoti pasar keuangan domestik AS.  Bila kita cermati lebih mendalam, pola perang dagang ini sama persis seperti yang terjadi pada krisis ekonomi 2008 silam --hanya beda penyebab). Krisis 2008 terjadi karena masyarakat AS menumpuk utang di mana-mana yang menyebabkan mereka gagal bayar pada lembaga keuangan. Akibatnya, lembaga keuangan juga tak bisa bertahan lama dan akhirnya pailit. Kondisi ini jelas membuat daya beli masyarakat AS turun. Dan, akibatnya impor luar negeri macet. Negara-negara berkembang yang mengandalkan ekspor menjadi kian malang. Dan, terjadilah  -produksi. Negara-negara di dunia mengalami resesi.  Pengalaman resesi ini juga mirip seperti yang terjadi di  .   Lannister yang menjadi pemilik The Iron Thrones pada akhirnya juga mengalami defisit finansial akibat perang yang terus terjadi dengan sesama  .   Arryn, Stark, dan Targaryen menjadi lawan berat bagi Lannister. Perang dengan ketiga   itu adalah yang paling menguras energi Lannister. Mau tak mau Lannister pun pada akhirnya menjalin kerja sama dengan   lain untuk menutupi defisit tersebut.  AS tak selamanya bisa menjadi Lannister yang buas. AS harus bisa meredam ambisi politisnya. AS bukanlah negara tanpa cacat. Setiap negara mempunyai kelemahan. Ia juga pasti membutuhkan bantuan negara lain baik dalam prospek ekonomi maupun politik. Namun, yang jadi tanya, apakah ada yang mau membantu kalau mereka memperlakukan negara lain seperti sapi perahan tanpa ada   yang saling menguntungkan di kedua belah pihak?  AS dan seluruh dunia harus introspeksi diri. Tantangan yang dihadapi saat ini bukan lagi pada ketegangan-ketegangan politik yang tak berujung. Tapi, lebih ke masalah-masalah sosial ataupun lingkungan hidup yang kini tengah dilanda krisis. Dalam serial  ancaman ini disebut   (Jokowi menyebutnya "" ""). Yakni, sebuah zombie yang bisa menghancurkan dunia. Zombie itu tak lain ialah bencana alam, perang sipil, pencemaran lingkungan, dan kondisi iklim global yang semakin tak terkendali.  Mau dibawa ke mana nanti anak-cucu kita bila negara-negara di dunia, para  , saling bunuh-membunuh (baik dalam fisik atau ekonomi)? Apakah   terus menjadi doktrin yang seakan tiada ujungnya? Apa jadinya dunia ini bila negara-negara terus memburu The Iron Thrones tanpa mengetahui ada negara-negara yang terimbas karenanya? Saatnya memberhentikan itu semua. Ada harga mahal yang dibayar saat negara-negara haus akan The Iron Thrones. Nafsu kekuasaan yang membabi-buta jelas berujung pada sebuah kehancuran.  Pidato Jokowi tentang politik   menyiratkan pada kita bahwa konflik itu suatu keniscayaan. Itu hukum keseimbangan. Tapi, ia menjadi masalah kalau berkepanjangan. Maka, menekan egoisme masing-masing negara perlu dilakukan. Para   harus duduk bersama untuk mencari solusi. Solusi atas permasalahan yang paling utama, bukan soal The Iron Thrones tapi soal   yang buas. Soal bencana alam, iklim global, dan isu kemanusiaan.","Selasa 16 Oktober 2018, 12:18 WIB",https://news.detik.com/kolom/d-4258753/jokowi-dan-politik-game-of-thrones
